type,subtype,city,street,pubMillis
hazard,hazard_on_road_pot_hole,,chorrillos 3,1748542587000
jam,jam_stand_still_traffic,lampa,barros luco,1748965274000
hazard,hazard_on_road_pot_hole,,chorrillos 3,1748542534000
hazard,hazard_on_road_pot_hole,batuco,av. italia,1748907630000
hazard,hazard_on_road_pot_hole,,chorrillos 3,1748608389000
police,,lampa,,1748967177000
hazard,hazard_on_road_pot_hole,,chorrillos 3,1748635713000
hazard,hazard_on_shoulder_car_stopped,,ruta g-18 / camino el noviciado,1748964896000
hazard,hazard_on_road_construction,,ruta g-16,1748965496000
hazard,hazard_on_road_pot_hole,quilicura,cerro los cóndores,1748898940000
hazard,hazard_on_road,chamisero,av. chamisero,1748966593000
hazard,hazard_on_shoulder_car_stopped,lampa,la montaña,1748965702000
hazard,hazard_on_road_construction,quilicura,galvarino,1748963572000
hazard,hazard_on_road_construction,quilicura,av. san ignacio,1748965378000
hazard,hazard_on_road_pot_hole,lampa,la estera,1748900465000
police,,colina,aconcagua,1748966318000
police,,,ruta g-17 / general san martín,1748966960000
hazard,hazard_on_road_pot_hole,lampa,av. las industrias,1748778271000
hazard,hazard_on_road_pot_hole,quilicura,av. cañaveral,1748287470000
hazard,hazard_on_road_construction,chicureo,los ingleses,1748966717000
hazard,hazard_on_road_construction,quilicura,av. o'higgins,1748961954000
hazard,hazard_on_road_pot_hole,lampa,la estera,1748640064000
hazard,hazard_on_road_pot_hole,lampa,av. juan de la fuente,1748861714000
hazard,hazard_on_road_pot_hole,lampa,los boldos,1748900615000
hazard,hazard_on_shoulder_car_stopped,quilicura,lautaro,1748964619000
hazard,hazard_on_shoulder_car_stopped,quilicura,av. bernardo o'higgins,1748965462000
police,,colina,general san martín,1748964973000
hazard,hazard_on_shoulder_car_stopped,lampa,la montaña,1748965660000
hazard,hazard_on_road_pot_hole,quilicura,lautaro,1748962342000
hazard,hazard_on_road_pot_hole,lampa,av. las industrias,1748778238000
hazard,hazard_on_road_pot_hole,quilicura,los alerces,1748640022000
hazard,hazard_on_road_pot_hole,lampa,la estera,1748900405000
hazard,hazard_on_road_pot_hole,lampa,santa graciela,1748690755000
hazard,hazard_on_road_pot_hole,lampa,santa isabel,1748359998000
hazard,hazard_on_road_pot_hole,quilicura,los alerces,1748806092000
hazard,hazard_on_road_pot_hole,quilicura,camino maulén,1748962477000
hazard,hazard_on_shoulder_car_stopped,quilicura,av. presidente eduardo frei montalva,1748966284000
hazard,hazard_on_road_pot_hole,lampa,av. las industrias,1748891185000
hazard,hazard_on_shoulder_car_stopped,lo barnechea,av. paseo pie andino,1748966241000
hazard,hazard_on_road_pot_hole,piedra roja,av. padre sergio correa,1748864887000
jam,jam_heavy_traffic,,ruta 68,1748966277000
hazard,hazard_on_road_pot_hole,,chorrillos 3,1748608432000
hazard,hazard_on_road_construction,,ruta g-18 / camino a noviciado,1748964271000
hazard,hazard_on_road_pot_hole,peralito,alejandro dip,1748885326000
hazard,hazard_on_road_pot_hole,pudahuel,bilbao,1748955265000
jam,jam_stand_still_traffic,,ruta 68,1748966268000
hazard,hazard_on_road_pot_hole,peralito,narciso ortega,1748885315000
hazard,hazard_on_shoulder_car_stopped,,autopista costanera norte,1748967190000
jam,jam_heavy_traffic,,salida > el noviciado,1748966425000
hazard,hazard_on_road_pot_hole,pudahuel,bilbao,1748957824000
jam,jam_stand_still_traffic,,ruta 68,1748966353000
hazard,hazard_on_shoulder_car_stopped,,ruta 68,1748966935000
hazard,hazard_on_road_pot_hole,pudahuel,bilbao,1748956365000
road_closed,road_closed_event,maipú,longitudinal,1744948800000
hazard,hazard_on_road_lane_closed,santiago,av. libertador bernardo o'higgins,1745326800000
road_closed,road_closed_event,conchalí,av. independencia,1717680414000
police,,estación central,toro mazotte,1748963257000
hazard,hazard_on_road_pot_hole,maipú,las palomas de san josé,1748286520000
road_closed,road_closed_event,,salida > el rosal,1735822083000
hazard,hazard_on_road_lane_closed,santiago,av. libertador bernardo o'higgins,1745326800000
hazard,hazard_on_road_lane_closed,santiago,av. libertador bernardo o'higgins,1745326800000
hazard,hazard_on_road_pot_hole,cerrillos,av. suiza,1748345134000
road_closed,road_closed_event,maipú,longitudinal,1743690902000
hazard,hazard_on_road_lane_closed,santiago,av. libertador bernardo o'higgins,1745326800000
hazard,hazard_on_shoulder_car_stopped,quinta normal,radal,1748965828000
road_closed,road_closed_event,maipú,av. hugo bravo,1744948780000
police,,pudahuel,av. armando cortínez oriente,1748966162000
road_closed,road_closed_event,maipú,longitudinal,1743690902000
hazard,hazard_on_road_pot_hole,maipú,orleans,1748910842000
hazard,hazard_on_road_pot_hole,estación central,obispo manuel umaña,1748319535000
road_closed,road_closed_event,renca,vicuña mackenna,1736165132000
hazard,hazard_on_shoulder_car_stopped,maipú,av. américo vespucio,1748967072000
hazard,hazard_on_road_pot_hole,maipú,cordillera de los andes,1748952984000
hazard,hazard_on_road_pot_hole,quinta normal,santo domingo,1748607549000
road_closed,road_closed_event,,av. independencia,1719436134000
hazard,hazard_on_road_pot_hole,conchalí,vecinal,1748467483000
chit_chat,,cerrillos,av. lo errázuriz,1748965873000
hazard,hazard_on_road_traffic_light_fault,independencia,av. fermín vivaceta,1748966749000
hazard,hazard_on_road_lane_closed,santiago,av. libertador bernardo o'higgins,1745326800000
chit_chat,,estación central,av. padre alberto hurtado,1748965239000
chit_chat,,lo prado,av. general óscar bonilla,1748966127000
police,,conchalí,av. pedro fontova,1748966284000
road_closed,road_closed_event,conchalí,av. independencia,1717680214000
chit_chat,,estación central,av. gladys marín millie,1748966459000
hazard,hazard_on_road_pot_hole,maipú,leonardo da vinci,1748904365000
hazard,hazard_on_road_pot_hole,maipú,el rosal,1748958779000
police,,santiago,catedral,1748967193000
hazard,hazard_on_road_pot_hole,maipú,anique,1748817746000
road_closed,road_closed_event,,av. independencia,1717680103000
hazard,hazard_on_road_pot_hole,maipú,cordillera de los andes,1748953117000
police,,pudahuel,pasaje papa san calixto,1748966255000
police,,santiago,av. almirante blanco encalada,1748965609000
police,,estación central,av. libertador bernardo o'higgins,1748966284000
hazard,hazard_on_road_construction,pedro aguirre cerda,av. departamental,1748966017000
road_closed,road_closed_event,maipú,av. hugo bravo,1743596805000
police,,estación central,av. gladys marín millie,1748965093000
road_closed,road_closed_event,maipú,aves del paraíso,1744949116000
road_closed,road_closed_event,maipú,longitudinal,1744948884000
road_closed,road_closed_event,conchalí,av. independencia,1717680214000
road_closed,road_closed_event,cerro navia,vicuña rozas,1746657375000
hazard,hazard_on_road_pot_hole,cerrillos,av. salvador allende,1748951947000
hazard,hazard_on_road_pot_hole,maipú,ernesto pinto lagarrigue,1748953081000
police,police_with_mobile_camera,santiago,av. libertador bernardo o'higgins,1748965855000
hazard,hazard_on_road_lane_closed,santiago,av. libertador bernardo o'higgins,1745326800000
police,,santiago,hermanos amunátegui,1748966591000
chit_chat,,santiago,av. libertador bernardo o'higgins,1748965635000
police,,santiago,av. almirante blanco encalada,1748966327000
road_closed,road_closed_event,estación central,iquique,1748732535000
chit_chat,,santiago,agustinas,1748965487000
hazard,hazard_on_road_lane_closed,santiago,av. libertador bernardo o'higgins,1745326800000
police,,santiago,bascuñán guerrero,1748964494000
hazard,hazard_on_road_construction,maipú,av. américo vespucio,1748963788000
hazard,hazard_on_road_lane_closed,santiago,av. libertador bernardo o'higgins,1745326800000
